ID,Total Number of Reviews,Review 1 URL/Name,DateTime 1,Score 1,Review Segment 1,Review 2 URL/Name,DateTime 2,Score 2,Review Segment 2,Review 3 URL/Name,DateTime 3,Score 3,Review Segment 3
bibibop-asian-grill-columbus-12,4,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/c1uDrEW7wkFlkYRf--ZquA/o.jpg', 'name': 'Heather C.'}",2017-03-11 15:57:55,5,This place has amazingly friendly staff and customer service always goes a very long way in my book.   If a place has great service it usually means I will...,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/KTrWtHLf1suW9iqoRk8eYw/o.jpg', 'name': 'Jason S.'}",2017-09-13 16:40:27,4,"Yum yum!!! (Pun most definitely intended) This is a wonderful little restaurant! It was my first time, and the person serving us was very helpful in...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Cb2dKq8fk_KFJp5F3fHwfA/o.jpg', 'name': 'Robert L.'}",2017-05-28 12:52:00,3,"I gave this a second attempt. Any food that should be hot was this time, the staff answered my questions better, I asked many questions to make sure what it..."
hc-way-columbus-3,16,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/lvBsCrzWGzXTnKCJNihrJg/o.jpg', 'name': 'Robbie J.'}",2017-06-06 01:44:33,5,This place is a quick and efficient delivery service which I was impressed. Food was decent from what I ordered . Good for a quick healthy meal.,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/fu6ko2UiVrHuviIQ9V8qLg/o.jpg', 'name': 'Steve A.'}",2017-09-02 17:37:56,3,HC Way is yet another Chinese fusion idea. It's not that bad but this is just too played out. This has build your own features including choices of...,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/LR783H0NDCs7k8ph3yD5nA/o.jpg', 'name': 'Ashley G.'}",2017-09-27 10:23:53,1,This was the worse experience ever. My colleagues and I ordered food at 11:58am and even called to confirm with the merchant the location of delivery and...
chi-thai-columbus,118,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/bPcW_IM8_u4aKCiUUiFVtQ/o.jpg', 'name': 'Sarah N.'}",2017-09-14 14:33:06,5,Best Asian in Columbus. Steve the owner always greets me by my name. The food is fresh and they use food ingredients.,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/fu6ko2UiVrHuviIQ9V8qLg/o.jpg', 'name': 'Steve A.'}",2017-05-08 11:42:43,3,Chi Thai is okay Chinese food. It's not the best or worst. The food comes out pretty fast. It's the best thing about it. The food needs some improvement...,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/55nbwsw7b3ZnG57WS-Gvww/o.jpg', 'name': 'Gayana S.'}",2017-10-08 14:35:36,1,one of the worst Thai food I have ever half. coconut soup tastes like sour cream.. ribs were rubbery and cream crap puffs were raw in the middle and not hot....
hc-way-columbus,53,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/D3oyQf00ePczEkH6lLRv4A/o.jpg', 'name': 'Kevin C.'}",2017-06-12 07:06:01,5,"I wanted to update my review
Unfortunately they no longer sell sushi rolls, I was a bit disappointed as they were really a great item to add along with my...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/SxohQUZx1fSFW1Zf6KWDjQ/o.jpg', 'name': 'Sherri D.'}",2017-09-21 16:32:44,2,"Ordering online for delivery isn't the way to go with this restaurant. We ordered sesame chicken, requesting all white meat if possible. We got unbreaded...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/0vqvylYHecFx6Uz6Pjz6MA/o.jpg', 'name': 'Dan D.'}",2017-08-16 17:42:38,3,Love the general tsos when it's fresh and still crunchy. Customer service is lacking.
siam-hibachi-grove-city,37,"{'image_url': None, 'name': 'Greg M.'}",2017-06-19 20:08:44,5,"Really friendly staff, great food. I enjoyed the Yum Yum Sauce, but I've heard that the Egg Yolk Sauce is really good too.

The entrees are very large, I...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/qVOQA1xqyp7rmAyrfOrRAw/o.jpg', 'name': 'J M.'}",2017-09-21 13:43:49,3,"Food is not bad, but not as good as an actual Japanese steakhouse. Not a ton of veggies and fried rice only ok. Chicken was tasty. very friendly staff,...","{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/Mqn8WTwMCC_J9Zxx3GRxgA/o.jpg', 'name': 'Tom M.'}",2017-07-07 09:05:43,5,"Came here for lunch while working down in Grove City. Greeted by friendly staff, ordered quickly at the counter. I ordered the chicken entree with fried..."
kissho-asian-bistro-and-sushi-bar-columbus-2,45,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/uDFpW0-MSdcOqfLr5Um6Iw/o.jpg', 'name': 'Alex C.'}",2017-08-20 11:10:33,4,"I ordered orange chicken and combo fried rice. With delivery fees it was $30, which I don't think was worth it for the amount and taste of the food. I...","{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/Dc92tZvV7YqZegRvgrFWGw/o.jpg', 'name': 'Larry V.'}",2017-08-17 16:29:52,4,"So this a return after a major remodeling.
The food is tasty, though I recommend talking to waitress about your desired heat level. The default is quite mild.","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/UC9_5VRnIHBsD780QlgTHg/o.jpg', 'name': 'Angela S.'}",2017-03-22 10:02:16,4,My mom had ordered Kissho when I stopped by and asked me to take get to pick it up. Of course I did and of course my fee was that she share because I had...
koco-asian-cusine-columbus,1,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/WN5envaDee0XURQMYo_egw/o.jpg', 'name': 'Danielle H.'}",2017-10-11 14:35:53,4,Great option to skip the cafeteria at Children's Hospital. The food is fresh and yummy. It is not heavy and salty like some Chinese food can be. We have...
royal-ginger-asian-fusion-bistro-columbus,128,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/Vft7TCkji_dVe7mpk1mjow/o.jpg', 'name': 'Erica R.'}",2017-09-21 04:49:11,4,I have been coming here for years and just realized I have never done a review so I probably should.  I am giving 4 stars but if I had to rate this place...,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/cALarppUcOAlEhIBLlOm9Q/o.jpg', 'name': 'Heather S.'}",2017-09-17 06:57:02,2,My husband and I decided to try this place out on a random rainy Wednesday evening. It was around 7ish or so when we got there. I expected a pretty smooth...,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/0i-hq3O9w2I_Orojkt00pg/o.jpg', 'name': 'Virginia W.'}",2017-05-09 13:11:55,4,"The atmosphere and interior are very lovely and have an intimate feeling. Great for lunch and/or dinner.
Food was ""OK"" Great selection and menu may need..."
ichiban-columbus,28,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/tboz1HkXrRcnuLIzl3m_Qw/o.jpg', 'name': 'Lynn H.'}",2017-08-09 05:16:58,4,Went for lunch on Tuesday. I tried a Bento box. The variety of items included was quite nice and I really liked the shumai. The texture of the California...,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/Y5mQZ_o3f4KwpXdk2VZREQ/o.jpg', 'name': 'Jillian M.'}",2017-07-13 11:40:15,3,"You would never know that this place used to be a Mexican restaurant! Nice Japanese-style décor, and a cool bar and sushi station. Several hibachi grill...","{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/RKVwLzS6geoz5_H_cGbVpA/o.jpg', 'name': 'Aaliyah E.'}",2017-09-12 07:09:49,3,The food was not my favorite. I wasn't a fan of the egg yolk but it seemed to be a fan of many. The lunch special is reasonable and some specials include...
eastern-palace-columbus,26,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/x9wfj_Br5WqqnY4tED8FgQ/o.jpg', 'name': 'Nick M.'}",2017-07-24 15:44:02,4,"Pretty good place! Casual. Decently priced. A mellow, atmosphere that is accented with pretty good sushi, a pretty good chicken egg roll and some black tea...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/d_AiTgF5pk-62zw5D7xS1g/o.jpg', 'name': 'Joe A.'}",2017-01-13 20:13:17,1,"Maybe I ordered the wrong thing but it tasted funny and I couldn't finish it. I am not a picky eater and was too embarrassed to complain. However, I was...","{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/gCGk9NaYugq3Zt8AFoPpaQ/o.jpg', 'name': 'Pamela P.'}",2017-08-04 10:33:52,5,Been coming here for years... Best Chinese food in the USA... When my father was alive.. He said that this place is the only place he would really eat at.....
sesame-sea-asian-bistro-dublin,138,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/du9OAZfFtsHQwiHD8BW5Mg/o.jpg', 'name': 'Tipper T.'}",2017-07-05 09:12:44,5,"Love this place

Just good Chinese food

They make it the way I like it

I ask for spicy , I get spicy

Nice little spot in a strip mall

Great service too...","{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/anoKAbd0XeQAYHPi4WH_fQ/o.jpg', 'name': 'Jessica S.'}",2017-09-10 17:41:36,2,"I went to Sesame Sea Asian Bistro for lunch a few weeks back and ordered the beef lo mein (don't judge, it's my weakness) and wonton soup. I thought both...","{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/vSSiJ9AdVSzUxAD2gGyN5Q/o.jpg', 'name': 'Erin T.'}",2016-07-26 08:20:08,5,One of my most favorite Asian restaurants!  They have the best Won Ton Soup which is a clear broth with very light won tons that have such amazing flavor....
