Name,Rating,NumberofReviews,GroupCategory,Address,Lat/Long,PriceTransfrom,lat,long
martini-modern-italian-columbus,4,262,European,"{'address1': '445 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['445 N High St', 'Columbus, OH 43215']}","{'latitude': 39.9714241027832, 'longitude': -83.0028762817383}",3,39.9714241,-83.00287628
g-michaels-bistro-and-bar-columbus,4,191,American,"{'address1': '595 S Third St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['595 S Third St', 'Columbus, OH 43215']}","{'latitude': 39.9502366135612, 'longitude': -82.9958483576774}",3,39.95023661,-82.99584836
lola-and-giuseppes-trattoria-columbus,4.5,191,European,"{'address1': '100 Granville St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43230', 'country': 'US', 'state': 'OH', 'display_address': ['100 Granville St', 'Columbus, OH 43230']}","{'latitude': 40.01914, 'longitude': -82.87758}",2,40.01914,-82.87758
harvest-pizzeria-columbus,4.5,333,American,"{'address1': '495 S 4th St', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43206', 'country': 'US', 'state': 'OH', 'display_address': ['495 S 4th St', 'Columbus, OH 43206']}","{'latitude': 39.95246, 'longitude': -82.99457}",2,39.95246,-82.99457
giuseppes-ritrovo-columbus,3.5,104,European,"{'address1': '2268 E Main St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43209', 'country': 'US', 'state': 'OH', 'display_address': ['2268 E Main St', 'Columbus, OH 43209']}","{'latitude': 39.9573590731181, 'longitude': -82.9383103559409}",2,39.95735907,-82.93831036
basi-italia-columbus,4.5,235,European,"{'address1': '811 Highland St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['811 Highland St', 'Columbus, OH 43215']}","{'latitude': 39.9781837463379, 'longitude': -83.0107192993164}",3,39.97818375,-83.0107193
figlio-columbus,4,120,American,"{'address1': '1369 Grandview Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1369 Grandview Ave', 'Columbus, OH 43212']}","{'latitude': 39.9857292, 'longitude': -83.0451279}",2,39.9857292,-83.0451279
claudiana-italian-restaurant-columbus,4,120,European,"{'address1': '8475 Sancus Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['8475 Sancus Blvd', 'Columbus, OH 43240']}","{'latitude': 40.137001, 'longitude': -82.9928436}",2,40.137001,-82.9928436
nicola-restaurant-and-bar-columbus,4,82,European,"{'address1': '4740 Reed Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['4740 Reed Rd', 'Columbus, OH 43220']}","{'latitude': 40.0531272888184, 'longitude': -83.0661087036133}",3,40.05312729,-83.0661087
villa-nova-ristorante-columbus,4,193,American,"{'address1': '5545 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['5545 N High St', 'Columbus, OH 43214']}","{'latitude': 40.075779, 'longitude': -83.0191193}",2,40.075779,-83.0191193
rubinos-pizza-columbus,4,156,American,"{'address1': '2643 E Main St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43209', 'country': 'US', 'state': 'OH', 'display_address': ['2643 E Main St', 'Columbus, OH 43209']}","{'latitude': 39.9566192626953, 'longitude': -82.9280395507812}",1,39.95661926,-82.92803955
z-cucina-di-spirito-columbus,4,206,European,"{'address1': '1368 Grandview Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1368 Grandview Ave', 'Columbus, OH 43212']}","{'latitude': 39.98566, 'longitude': -83.04456}",2,39.98566,-83.04456
due-amici-columbus,3.5,194,European,"{'address1': '67 E Gay St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['67 E Gay St', 'Columbus, OH 43215']}","{'latitude': 39.96371, 'longitude': -82.99891}",2,39.96371,-82.99891
figlio-columbus-2,3.5,68,European,"{'address1': '3712 Riverside Dr', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['3712 Riverside Dr', 'Columbus, OH 43221']}","{'latitude': 40.02907, 'longitude': -83.09124}",2,40.02907,-83.09124
caff_-davinci-columbus-2,4,56,European,"{'address1': '3080 Tremont Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['3080 Tremont Rd', 'Columbus, OH 43221']}","{'latitude': 40.01925, 'longitude': -83.06228}",2,40.01925,-83.06228
the-wine-bistro-columbus-2,4,81,European,"{'address1': '1750 Lane Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['1750 Lane Ave', 'Columbus, OH 43221']}","{'latitude': 40.0074049, 'longitude': -83.0567775}",2,40.0074049,-83.0567775
brio-tuscan-grille-columbus,3.5,208,American,"{'address1': '3993 Easton Station', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['3993 Easton Station', 'Columbus, OH 43219']}","{'latitude': 40.04978, 'longitude': -82.91535}",2,40.04978,-82.91535
borgata-pizza-cafe-columbus-3,4.5,267,American,"{'address1': '5701 Parkville St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['5701 Parkville St', 'Columbus, OH 43229']}","{'latitude': 40.08529, 'longitude': -82.95738}",2,40.08529,-82.95738
pizza-cucinova-columbus,4,127,American,"{'address1': 'Easton Town Center', 'address2': '4044 Morse Crossing', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['Easton Town Center', '4044 Morse Crossing', 'Columbus, OH 43219']}","{'latitude': 40.052388, 'longitude': -82.918952}",1,40.052388,-82.918952
carfagnas-kitchen-columbus,3.5,127,American,"{'address1': '2025 Polaris Pkwy', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['2025 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.144, 'longitude': -82.96293}",2,40.144,-82.96293
piada-italian-street-food-columbus-3,4,98,European,"{'address1': '4025 Easton Station St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['4025 Easton Station St', 'Columbus, OH 43219']}","{'latitude': 40.0496896039232, 'longitude': -82.9142632707953}",1,40.0496896,-82.91426327
pastaria-columbus,4,61,European,"{'address1': '59 Spruce St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['59 Spruce St', 'Columbus, OH 43215']}","{'latitude': 39.97217, 'longitude': -83.00416}",1,39.97217,-83.00416
dearinis-tavern-and-grill-columbus-2,4,14,European,"{'address1': '1942 Henderson Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['1942 Henderson Rd', 'Columbus, OH 43220']}","{'latitude': 40.0552765398826, 'longitude': -83.0698222576895}",2,40.05527654,-83.06982226
giordanos-columbus-columbus,3,155,American,"{'address1': '2137 Polaris Pkwy', 'address2': None, 'address3': None, 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['2137 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.145, 'longitude': -82.96076}",2,40.145,-82.96076
mamas-pasta-and-brew-columbus,4,21,American,"{'address1': '23 Campus Pl', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['23 Campus Pl', 'Columbus, OH 43201']}","{'latitude': 40.1181806, 'longitude': -83.0145955}",1,40.1181806,-83.0145955
piada-columbus-2,3.5,55,American,"{'address1': '5436 Westpointe Plz Dr', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['5436 Westpointe Plz Dr', 'Columbus, OH 43220']}","{'latitude': 39.9846373866437, 'longitude': -83.1492661150127}",1,39.98463739,-83.14926612
marcellas-columbus-5,3.5,176,American,"{'address1': '1319 Polaris Pkwy', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['1319 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.141353, 'longitude': -82.984913}",2,40.141353,-82.984913
leones-pizza-columbus,4.5,79,American,"{'address1': '5413 Sinclair Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['5413 Sinclair Rd', 'Columbus, OH 43229']}","{'latitude': 40.0755713, 'longitude': -82.9982702}",2,40.0755713,-82.9982702
carfagnas-columbus-2,4.5,98,European,"{'address1': '1405 E Dublin Granville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43229', 'country': 'US', 'state': 'OH', 'display_address': ['1405 E Dublin Granville Rd', 'Columbus, OH 43229']}","{'latitude': 40.086921, 'longitude': -82.979783}",2,40.086921,-82.979783
the-wine-bistro-columbus,4,109,American,"{'address1': '8231 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['8231 N High St', 'Columbus, OH 43235']}","{'latitude': 40.132453, 'longitude': -83.016848}",2,40.132453,-83.016848
halwani-cuisine-columbus,4,62,American,"{'address1': '1453 Grandview Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1453 Grandview Ave', 'Columbus, OH 43212']}","{'latitude': 39.9874099, 'longitude': -83.0447285}",2,39.9874099,-83.0447285
spaghetti-warehouse-columbus,3,201,European,"{'address1': '397 W Broad St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['397 W Broad St', 'Columbus, OH 43215']}","{'latitude': 39.960083, 'longitude': -83.011299}",2,39.960083,-83.011299
tonys-italian-ristorante-columbus,3.5,80,European,"{'address1': '16 W Beck St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['16 W Beck St', 'Columbus, OH 43215']}","{'latitude': 39.9505506, 'longitude': -82.9988426}",2,39.9505506,-82.9988426
big-tonys-pizza-and-pasta-columbus-4,4.5,12,American,"{'address1': '1097 Worthington Woods Blvd', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43085', 'country': 'US', 'state': 'OH', 'display_address': ['1097 Worthington Woods Blvd', 'Columbus, OH 43085']}","{'latitude': 40.1177959447927, 'longitude': -82.9877868849942}",2,40.11779594,-82.98778688
minellis-pizza-columbus-2,4.5,29,American,"{'address1': '1189 N Wilson Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43204', 'country': 'US', 'state': 'OH', 'display_address': ['1189 N Wilson Rd', 'Columbus, OH 43204']}","{'latitude': 39.9774895, 'longitude': -83.1021194}",1,39.9774895,-83.1021194
bravo-cucina-italiana-columbus-2,3.5,82,European,"{'address1': '3000 Hayden Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['3000 Hayden Rd', 'Columbus, OH 43235']}","{'latitude': 40.066743, 'longitude': -83.097236}",2,40.066743,-83.097236
