Name,Rating,Number of Reviews,Category,Address,Lat/Long,Price,lat,long
taste-of-orient-columbus,3,86,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'address1': '2418 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43202', 'country': 'US', 'state': 'OH', 'display_address': ['2418 N High St', 'Columbus, OH 43202']}","{'latitude': 40.0116, 'longitude': -83.01022}",$,40.0116,-83.01022
ding-ho-restaurant-columbus-2,3,42,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '120 Phillipi Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['120 Phillipi Rd', 'Columbus, OH 43228']}","{'latitude': 39.9553984097143, 'longitude': -83.1100720026636}",$$,39.95539841,-83.110072
rice-kitchen-columbus,3.5,13,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'address1': '4010 Alum Creek Dr', 'address2': None, 'address3': None, 'city': 'Columbus', 'zip_code': '43207', 'country': 'US', 'state': 'OH', 'display_address': ['4010 Alum Creek Dr', 'Columbus, OH 43207']}","{'latitude': 39.8863537609577, 'longitude': -82.9303333908319}",$,39.88635376,-82.93033339
cocos-grill-columbus,3.5,84,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'address1': '845 W 5th Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['845 W 5th Ave', 'Columbus, OH 43212']}","{'latitude': 39.98747, 'longitude': -83.02827}",$,39.98747,-83.02827
lucky-dragon-columbus-2,3.5,67,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'address1': '2800 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43202', 'country': 'US', 'state': 'OH', 'display_address': ['2800 N High St', 'Columbus, OH 43202']}","{'latitude': 40.0193557739258, 'longitude': -83.0122299194336}",$$,40.01935577,-83.01222992
general-tsos-chinese-restaurant-columbus,3.5,61,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '5227 Godown Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['5227 Godown Rd', 'Columbus, OH 43235']}","{'latitude': 40.06482, 'longitude': -83.05732}",$$,40.06482,-83.05732
supreme-buffet-and-hibachi-columbus,2.5,116,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]","{'address1': '1323 W Saint James Lutheran Way', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['1323 W Saint James Lutheran Way', 'Columbus, OH 43228']}","{'latitude': 39.9783554077148, 'longitude': -83.1489105224609}",$$,39.97835541,-83.14891052
china-buffet-columbus-6,2.5,15,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1520 North Cassady Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['1520 North Cassady Ave', 'Columbus, OH 43219']}","{'latitude': 40.0017896720292, 'longitude': -82.9295507415921}",$,40.00178967,-82.92955074
ginza-go-columbus,3.5,32,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'address1': '1837 Morse Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43224', 'country': 'US', 'state': 'OH', 'display_address': ['1837 Morse Rd', 'Columbus, OH 43224']}","{'latitude': 40.0602417, 'longitude': -82.9696934}",$,40.0602417,-82.9696934
peking-wok-columbus,4,27,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '1537 W Broad St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43222', 'country': 'US', 'state': 'OH', 'display_address': ['1537 W Broad St', 'Columbus, OH 43222']}","{'latitude': 39.9572156, 'longitude': -83.0407844}",$,39.9572156,-83.0407844
nongs-hunan-express-columbus,3.5,55,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]","{'address1': '1634 Northwest Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1634 Northwest Blvd', 'Columbus, OH 43212']}","{'latitude': 39.9917749617381, 'longitude': -83.0400560441803}",$,39.99177496,-83.04005604
golden-phoenix-chinese-restaurant-columbus,4,37,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '4542 Cleveland Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43231', 'country': 'US', 'state': 'OH', 'display_address': ['4542 Cleveland Ave', 'Columbus, OH 43231']}","{'latitude': 40.0619812011719, 'longitude': -82.9524459838867}",$,40.0619812,-82.95244598
golden-house-chinese-restaurant-columbus,4,18,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]","{'address1': '3518 Cleveland Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43224', 'country': 'US', 'state': 'OH', 'display_address': ['3518 Cleveland Ave', 'Columbus, OH 43224']}","{'latitude': 40.0405666977167, 'longitude': -82.9610788822174}",$,40.0405667,-82.96107888
yings-teahouse-and-yum-yum-columbus-3,3,94,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '4312 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['4312 N High St', 'Columbus, OH 43214']}","{'latitude': 40.05, 'longitude': -83.01986}",$$,40.05,-83.01986
yaus-chinese-bistro-columbus,3.5,124,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]","{'address1': '1493 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['1493 N High St', 'Columbus, OH 43201']}","{'latitude': 39.9928283691406, 'longitude': -83.0070114135742}",$,39.99282837,-83.00701141
rice-bowl-restaurant-columbus,3,17,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '2300 S High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43207', 'country': 'US', 'state': 'OH', 'display_address': ['2300 S High St', 'Columbus, OH 43207']}","{'latitude': 39.9148, 'longitude': -82.99425}",$,39.9148,-82.99425
lees-china-kitchen-columbus,3.5,28,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '65 E State St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['65 E State St', 'Columbus, OH 43215']}","{'latitude': 39.959934, 'longitude': -82.998336}",$,39.959934,-82.998336
